Date,A,AAPL,FB,T,TSLA
2016-10-12,43.55341339111328,27.436498641967773,129.0500030517578,28.403316497802734,40.301998138427734
2016-10-13,43.256473541259766,27.352327346801758,127.81999969482422,28.43220329284668,40.04800033569336
2016-10-14,43.179840087890625,27.504308700561523,127.87999725341797,28.323869705200195,39.301998138427734
2016-10-17,43.24690246582031,27.485607147216797,127.54000091552734,28.359981536865234,38.79199981689453
2016-10-18,43.52467346191406,27.466896057128906,128.57000732421875,28.42497444152832,39.81999969482422
2016-10-19,44.080223083496094,27.385059356689453,130.11000061035156,28.439420700073242,40.71200180053711
2016-10-20,44.10895919799805,27.371030807495117,130.0,27.912229537963867,39.81999969482422
2016-10-21,43.649192810058594,27.263477325439453,132.07000732421875,27.07450294494629,40.018001556396484
2016-10-24,43.91739273071289,27.508987426757812,133.27999877929688,26.61952781677246,40.551998138427734
2016-10-25,41.676021575927734,27.64927864074707,132.2899932861328,26.503984451293945,40.46799850463867
2016-10-26,41.54193115234375,27.027318954467773,131.0399932861328,26.308992385864258,40.448001861572266
2016-10-27,41.5515022277832,26.767778396606445,129.69000244140625,26.37398910522461,40.801998138427734
2016-10-28,41.39824295043945,26.590070724487305,131.2899932861328,26.366764068603516,39.99399948120117
2016-10-31,41.733489990234375,26.547983169555664,130.99000549316406,26.56897735595703,39.54600143432617
2016-11-01,41.6568717956543,26.068653106689453,129.5,26.402877807617188,38.15800094604492
2016-11-02,41.43657302856445,26.092031478881836,127.16999816894531,26.265663146972656,37.604000091552734
2016-11-03,41.8197021484375,25.812362670898438,120.0,26.45343017578125,37.48400115966797
2016-11-04,42.45187759399414,25.579689025878906,120.75,26.359546661376953,38.11199951171875
2016-11-07,43.78329086303711,25.948671340942383,122.1500015258789,26.583419799804688,38.641998291015625
2016-11-08,43.697086334228516,26.101430892944336,124.22000122070312,26.71341323852539,38.987998962402344
2016-11-09,44.00359344482422,26.059131622314453,123.18000030517578,27.038393020629883,38.012001037597656
2016-11-10,45.04764938354492,25.332914352416992,120.80000305175781,26.41010284423828,37.06999969482422
2016-11-11,44.41547775268555,25.48332977294922,119.0199966430664,26.366764068603516,37.71200180053711
2016-11-14,43.41931915283203,24.844070434570312,115.08000183105469,26.09234046936035,36.290000915527344
2016-11-15,43.486358642578125,25.173105239868164,117.19999694824219,26.554533004760742,36.75400161743164
2016-11-16,44.23348617553711,25.849960327148438,116.33999633789062,26.828964233398438,36.7859992980957
2016-11-17,44.00359344482422,25.84056282043457,117.79000091552734,27.016727447509766,37.731998443603516
2016-11-18,43.14152908325195,25.866413116455078,117.0199966430664,27.12504768371582,37.00400161743164
2016-11-21,43.07448959350586,26.258901596069336,121.7699966430664,27.255048751831055,36.90399932861328
2016-11-22,42.58598327636719,26.275352478027344,121.47000122070312,27.84001350402832,38.23400115966797
2016-11-23,42.76797103881836,26.141389846801758,120.83999633789062,27.970008850097656,38.62799835205078
2016-11-25,42.997859954833984,26.27299690246582,120.37999725341797,28.316648483276367,39.33000183105469
2016-11-28,41.762229919433594,26.221298217773438,120.41000366210938,28.55497169494629,39.2239990234375
2016-11-29,42.605133056640625,26.195444107055664,120.87000274658203,28.51163673400879,37.91400146484375
2016-11-30,42.12620544433594,25.974523544311523,118.41999816894531,27.89779281616211,37.880001068115234
2016-12-01,41.388671875,25.732452392578125,115.0999984741211,28.078332901000977,36.375999450683594
2016-12-02,42.17411422729492,25.82880973815918,115.4000015258789,27.883342742919922,36.29399871826172
2016-12-05,42.65303421020508,25.643150329589844,117.43000030517578,27.89779281616211,37.36000061035156
2016-12-06,42.94995880126953,25.84056282043457,117.30999755859375,28.417757034301758,37.16999816894531
2016-12-07,43.09364700317383,26.094383239746094,117.94999694824219,29.212156295776367,38.630001068115234
2016-12-08,43.86949157714844,26.350557327270508,118.91000366210938,29.183269500732422,38.45800018310547
2016-12-09,44.348419189453125,26.780641555786133,119.68000030517578,29.161609649658203,38.43600082397461
2016-12-12,44.19515609741211,26.627883911132812,117.7699966430664,29.696012496948242,38.486000061035156
2016-12-13,44.43461990356445,27.072071075439453,120.30999755859375,29.869338989257812,39.630001068115234
2016-12-14,44.19515609741211,27.072071075439453,120.20999908447266,29.681568145751953,39.737998962402344
2016-12-15,44.597469329833984,27.220138549804688,120.56999969482422,29.970443725585938,39.51599884033203
2016-12-16,43.974876403808594,27.25539207458496,119.87000274658203,30.093217849731445,40.49800109863281
2016-12-19,43.51509094238281,27.41284942626953,119.23999786376953,30.418193817138672,40.54600143432617
2016-12-20,44.2622184753418,27.485706329345703,119.08999633789062,30.670961380004883,41.757999420166016
2016-12-21,44.0993766784668,27.51156234741211,119.04000091552734,30.59151268005371,41.540000915527344
2016-12-22,44.03232955932617,27.330595016479492,117.4000015258789,30.851503372192383,41.689998626708984
2016-12-23,44.25264358520508,27.3846492767334,117.2699966430664,30.858718872070312,42.667999267578125
2016-12-27,44.5495719909668,27.558568954467773,118.01000213623047,30.800954818725586,43.90599822998047
2016-12-28,43.792877197265625,27.441055297851562,116.91999816894531,30.707063674926758,43.948001861572266
2016-12-29,43.84282684326172,27.43400001525879,116.3499984741211,30.808177947998047,42.93600082397461
2016-12-30,43.76597595214844,27.220138549804688,115.05000305175781,30.71428871154785,42.737998962402344
2017-01-03,44.65936279296875,27.29769515991211,116.86000061035156,31.068157196044922,43.39799880981445
2017-01-04,45.24532699584961,27.26714324951172,118.69000244140625,30.887605667114258,45.39799880981445
2017-01-05,44.7073860168457,27.40580177307129,120.66999816894531,30.800954818725586,45.349998474121094
2017-01-06,46.10028839111328,27.711328506469727,123.41000366210938,30.187265396118164,45.801998138427734
2017-01-09,46.24437713623047,27.965158462524414,124.9000015258789,29.807371139526367,46.25600051879883
2017-01-10,46.20595932006836,27.99335289001465,124.3499984741211,29.81467628479004,45.9739990234375
2017-01-11,47.310672760009766,28.143770217895508,126.08999633789062,29.668569564819336,45.94599914550781
2017-01-12,46.60940933227539,28.02625846862793,126.62000274658203,29.960800170898438,45.917999267578125
2017-01-13,46.77272415161133,27.976900100708008,128.33999633789062,29.92425537109375,47.54999923706055
2017-01-17,46.417293548583984,28.20252227783203,127.87000274658203,30.033851623535156,47.11600112915039
2017-01-18,46.350040435791016,28.200176239013672,127.91999816894531,29.807371139526367,47.672000885009766
2017-01-19,45.76407241821289,28.150814056396484,127.55000305175781,29.95348358154297,48.75199890136719
2017-01-20,45.7448616027832,28.20252227783203,127.04000091552734,30.282241821289062,48.94599914550781
2017-01-23,45.5239143371582,28.221324920654297,128.92999267578125,30.68405532836914,49.784000396728516
2017-01-24,45.48548126220703,28.19547462463379,129.3699951171875,30.21648597717285,50.922000885009766
2017-01-25,46.503753662109375,28.64436149597168,131.47999572753906,30.238405227661133,50.89400100708008
2017-01-26,46.273193359375,28.658462524414062,132.77999877929688,30.516021728515625,50.50199890136719
2017-01-27,46.73429489135742,28.660812377929688,132.17999267578125,30.691362380981445,50.59000015258789
2017-01-30,45.79288101196289,28.58560562133789,130.97999572753906,30.552555084228516,50.125999450683594
2017-01-31,47.04169464111328,28.519798278808594,130.32000732421875,30.800954818725586,50.38600158691406
2017-02-01,47.32027816772461,30.25895881652832,133.22999572753906,30.727888107299805,49.847999572753906
2017-02-02,46.974456787109375,30.207250595092773,130.83999633789062,30.084991455078125,50.310001373291016
2017-02-03,47.435546875,30.33651351928711,130.97999572753906,30.136131286621094,50.26599884033203
2017-02-06,47.32987976074219,30.62088394165039,132.05999755859375,29.9973201751709,51.55400085449219
2017-02-07,47.68531799316406,30.912315368652344,131.83999633789062,30.041154861450195,51.49599838256836
2017-02-08,47.96389389038086,31.032176971435547,134.1999969482422,30.10690689086914,52.41600036621094
2017-02-09,48.482635498046875,31.256412506103516,134.13999938964844,30.179956436157227,53.84000015258789
2017-02-10,48.37696075439453,31.185598373413086,134.19000244140625,30.23110008239746,53.84600067138672
2017-02-13,48.53065872192383,31.461759567260742,134.0500030517578,29.69778823852539,56.119998931884766
2017-02-14,48.40578079223633,31.870121002197266,133.85000610351562,29.77083969116211,56.19599914550781
2017-02-15,49.58734893798828,31.98577880859375,133.44000244140625,30.041154861450195,55.95199966430664
2017-02-16,48.83805847167969,31.948017120361328,133.83999633789062,30.136131286621094,53.790000915527344
2017-02-17,49.596954345703125,32.03535079956055,133.52999877929688,30.304157257080078,54.44599914550781
2017-02-21,49.327980041503906,32.26666259765625,133.72000122070312,30.48680305480957,55.47800064086914
2017-02-22,49.3183708190918,32.36344909667969,136.1199951171875,30.384521484375,54.70199966430664
2017-02-23,49.44325637817383,32.22653579711914,135.36000061035156,30.64752960205078,51.198001861572266
2017-02-24,49.70262908935547,32.25722885131836,135.44000244140625,30.947063446044922,51.400001525878906
2017-02-27,49.625770568847656,32.320960998535156,136.41000366210938,30.552555084228516,49.24599838256836
